NAME,S2802_C03_022E,state,county
Kings County, California,83.5,06,031
Los Angeles County, California,89.9,06,037
Napa County, California,91.2,06,055
Orange County, California,93.0,06,059
Riverside County, California,91.6,06,065
San Bernardino County, California,91.0,06,071
San Joaquin County, California,89.3,06,077
Santa Barbara County, California,90.0,06,083
